# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Social                  |     Top Free | 3 | 2014-04-26 | /jacobs/APKs/ne/net./net.lovo/net.lovoo.android/2.5/net.lovoo.android.apk                                                                                
Sports                  |     Top Free | 1 | 2014-03-14 | /jacobs/APKs/co/com./com.frog/com.frogsparks.mytrails/1.4.5/com.frogsparks.mytrails.apk                                                                  
Sports                  |     Top Free | 1 | 2014-10-24 | /jacobs/APKs/co/com./com.netb/com.netbiscuits.kicker/3.2.3/com.netbiscuits.kicker.apk                                                                    
Sports                  |     Top Free | 1 | 2014-02-13 | /jacobs/APKs/co/com./com.evgi/com.evgit.sochi2014olympics/1.9.4/com.evgit.sochi2014olympics.apk                                                          
Tools                   |     Top Free | 1 | 2014-10-25 | /jacobs/APKs/co/com./com.goog/com.google.android.launcher/1.1.0.1167994/com.google.android.launcher.apk                                                  
Tools                   |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.clea/com.cleanmaster.mguard/5.8.3/com.cleanmaster.mguard.apk                                                                    
Tools                   |     Top Free | 2 | 2014-08-29 | /jacobs/APKs/co/com./com.goog/com.google.android.apps.translate/3.0.12/com.google.android.apps.translate.apk                                             
Transportation          |     Top Free | 1 | 2015-04-17 | /jacobs/APKs/de/de.h/de.hafas/de.hafas.android.db/15.04.p06.00/de.hafas.android.db.apk                                                                   
Transportation          |     Top Free | 2 | 2015-02-10 | /jacobs/APKs/de/de.s/de.schil/de.schildbach.oeffi/8.67/de.schildbach.oeffi.apk                                                                           
Transportation          |     Top Free | 3 | 2015-02-27 | /jacobs/APKs/co/com./com.ptva/com.ptvag.android.adacgasprices/1.3.3/com.ptvag.android.adacgasprices.apk                                                  
Travel & Local          |     Top Free | 1 | 2014-08-02 | /jacobs/APKs/co/com./com.goog/com.google.earth/7.1.3.1255/com.google.earth.apk                                                                           
Travel & Local          |     Top Free | 2 | 2014-08-26 | /jacobs/APKs/de/de.i/de.is24./de.is24.android/4.6.2/de.is24.android.apk                                                                                  
Travel & Local          |     Top Free | 3 | 2014-08-10 | /jacobs/APKs/ne/net./net.psyb/net.psyberia.offlinemaps/1.18c/net.psyberia.offlinemaps.apk                                                                
Weather                 |     Top Free | 1 | 2015-05-22 | /jacobs/APKs/co/com./com.wett/com.wetter.androidclient/2.3.1/com.wetter.androidclient.apk                                                                
Weather                 |     Top Free | 2 | 2014-06-10 | /jacobs/APKs/co/com./com.leve/com.levelup.brightweather/1.05/com.levelup.brightweather.apk                                                               
Weather                 |     Top Free | 2 | 2014-08-02 | /jacobs/APKs/de/de.w/de.wette/de.wetteronline.wetterapp/2.3.3/de.wetteronline.wetterapp.apk                                                              
Widgets                 |     Top Free | 1 | 2014-08-30 | /jacobs/APKs/co/com./com.face/com.facebook.katana/16.0.0.20.15/com.facebook.katana.apk                                                                   
Widgets                 |     Top Free | 2 | 2014-04-29 | /jacobs/APKs/co/com./com.wett/com.wetter.androidclient/1.4.9.1/com.wetter.androidclient.apk                                                              
Widgets                 |     Top Free | 2 | 2014-10-10 | /jacobs/APKs/co/com./com.dian/com.dianxinos.dxbs/3.8.5/com.dianxinos.dxbs.apk                                                                            
Books & Reference       | Top New Free | 1 | 2014-02-03 | /jacobs/APKs/ic/icyk/icykum.J/icykum.JasonSafaiyeh.cocg/1.2/icykum.JasonSafaiyeh.cocg.apk                                                                
Books & Reference       | Top New Free | 1 | 2014-08-22 | /jacobs/APKs/xi/xibe/xibergy./xibergy.com.shiftcodesbl2/1.0/xibergy.com.shiftcodesbl2.apk                                                                
Books & Reference       | Top New Free | 1 | 2014-06-01 | /jacobs/APKs/co/com./com.nani/com.naniappza.mapsddnews/1.4/com.naniappza.mapsddnews.apk                                                                  
Business                | Top New Free | 1 | 2014-06-09 | /jacobs/APKs/co/com./com.tabl/com.tabletkings.mycompany.kreuzfahrt/1.1.9/com.tabletkings.mycompany.kreuzfahrt.apk                                        
Business                | Top New Free | 1 | 2014-10-23 | /jacobs/APKs/co/com./com.hdm_/com.hdm_i.dm.venue.android.euroblech/1.1/com.hdm_i.dm.venue.android.euroblech.apk                                          
