# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Educational     |     Top Free | 2 | 2014-08-22 | /jacobs/APKs/ca/ca.j/ca.jason/ca.jasonrtbond.shusgarden/1.3.3/ca.jasonrtbond.shusgarden.apk                                                                                                                                                                                    
Games > Educational     |     Top Free | 2 | 2014-10-10 | /jacobs/APKs/co/com./com.hugs/com.hugsnhearts.android_mynewbaby/1.0.0.0/com.hugsnhearts.android_mynewbaby.apk                                                                                                                                                                  
Games > Educational     |     Top Free | 2 | 2014-08-02 | /jacobs/APKs/br/br.c/br.com.t/br.com.tapps.myboo/1.10/br.com.tapps.myboo.apk                                                                                                                                                                                                   
Games > Educational     |     Top Free | 3 | 2014-09-28 | /jacobs/APKs/pl/pl.k/pl.kidsg/pl.kidsgameprojects.com.AnimalsFarmForKids/1.21/pl.kidsgameprojects.com.AnimalsFarmForKids.apk                                                                                                                                                   
Games > Family          |     Top Free | 2 | 2014-03-31 | /jacobs/APKs/co/com./com.fox3/com.fox3d.skycups/1.0.22/com.fox3d.skycups.apk                                                                                                                                                                                                   
Games > Family          |     Top Free | 2 | 2014-09-20 | /jacobs/APKs/co/com./com.supe/com.supercell.hayday/1.20.125/com.supercell.hayday.apk                                                                                                                                                                                           
Games > Family          |     Top Free | 2 | 2014-09-07 | /jacobs/APKs/co/com./com.kiba/com.kibakumba.spielaffe/1.0.14/com.kibakumba.spielaffe.apk                                                                                                                                                                                       
Games > Family          |     Top Free | 2 | 2014-06-13 | /jacobs/APKs/co/com./com.magm/com.magmamobile.game.SpotTheDifferences/1.0.2/com.magmamobile.game.SpotTheDifferences.apk                                                                                                                                                        
Games > Family          |     Top Free | 2 | 2014-05-14 | /jacobs/APKs/co/com./com.natu/com.naturalmotion.clumsyninja/1.6.3/com.naturalmotion.clumsyninja.apk                                                                                                                                                                            
Games > Live Wallpaper  |     Top Free | 1 | 2014-04-30 | /jacobs/APKs/co/com./com.aspi/com.aspiredwallpapers.pixelmonminecraft/1.0/com.aspiredwallpapers.pixelmonminecraft.apk                                                                                                                                                          
Games > Live Wallpaper  |     Top Free | 1 | 2014-05-22 | /jacobs/APKs/co/com./com.ea.g/com.ea.games.simsfreeplay_row/2.9.9/com.ea.games.simsfreeplay_row.apk                                                                                                                                                                            
Games > Live Wallpaper  |     Top Free | 1 | 2014-05-10 | /jacobs/APKs/co/com./com.play/com.playfree.penguinjump/2.91/com.playfree.penguinjump.apk                                                                                                                                                                                       
Games > Live Wallpaper  |     Top Free | 2 | 2014-06-24 | /jacobs/APKs/es/es.s/es.socia/es.socialpoint.DragonCity/2.8.1/es.socialpoint.DragonCity.apk                                                                                                                                                                                    
Games > Live Wallpaper  |     Top Free | 2 | 2014-06-26 | /jacobs/APKs/co/com./com.spx./com.spx.ing004.google.s0/1.6.3/com.spx.ing004.google.s0.apk                                                                                                                                                                                      
Games > Music           |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.gril/com.grillgames.guitarrockhero/1.0.8/com.grillgames.guitarrockhero.apk                                                                                                                                                                            
Games > Music           |     Top Free | 1 | 2014-09-13 | /jacobs/APKs/co/com./com.game/com.gamestar.perfectpiano/6.1.9/com.gamestar.perfectpiano.apk                                                                                                                                                                                    
Games > Music           |     Top Free | 1 | 2014-04-04 | /jacobs/APKs/co/com./com.disn/com.disney.mysingingmuppets.goo/1.1.4/com.disney.mysingingmuppets.goo.apk                                                                                                                                                                        
Games > Music           |     Top Free | 2 | 2014-08-01 | /jacobs/APKs/co/com./com.word/com.wordsmobile.musichero/2.1/com.wordsmobile.musichero.apk                                                                                                                                                                                      
Games > Music           |     Top Free | 2 | 2014-10-02 | /jacobs/APKs/br/br.c/br.com.r/br.com.rodrigokolb.realdrum/4.6/br.com.rodrigokolb.realdrum.apk                                                                                                                                                                                  
Games > Puzzle          |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.lcmo/com.lcmobileapp.escapetheprisonroom/4/com.lcmobileapp.escapetheprisonroom.apk                                                                                                                                                                    
Games > Puzzle          |     Top Free | 1 | 2014-08-20 | /jacobs/APKs/co/com./com.mobi/com.mobirix.playmaze/1.1.1/com.mobirix.playmaze.apk                                                                                                                                                                                              
Games > Puzzle          |     Top Free | 1 | 2014-10-17 | /jacobs/APKs/co/com./com.game/com.gameforfun.jewels/1.0.2/com.gameforfun.jewels.apk                                                                                                                                                                                            
Games > Puzzle          |     Top Free | 1 | 2014-03-18 | /jacobs/APKs/co/com./com.turb/com.turbochilli.unrollme/1.4/com.turbochilli.unrollme.apk                                                                                                                                                                                        
Games > Puzzle          |     Top Free | 1 | 2014-08-26 | /jacobs/APKs/co/com./com.band/com.bandainamcogames.pacfriends/1.0.1/com.bandainamcogames.pacfriends.apk                                                                                                                                                                        
Games > Racing          |     Top Free | 1 | 2014-04-28 | /jacobs/APKs/co/com./com.ScnS/com.ScnStudios.PoliceCarDriver3D/1.0.2/com.ScnStudios.PoliceCarDriver3D.apk                                                                                                                                                                      
Games > Racing          |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.cieg/com.ciegames.RacingRivals/2.0.0/com.ciegames.RacingRivals.apk                                                                                                                                                                                    
Games > Racing          |     Top Free | 1 | 2014-03-16 | /jacobs/APKs/co/com./com.cryp/com.cryptic.mountain.motor.city/1.2/com.cryptic.mountain.motor.city.apk                                                                                                                                                                          
Games > Racing          |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.wego/com.wegoi.revolt2multiplayer/1.1.8/com.wegoi.revolt2multiplayer.apk                                                                                                                                                                              
Games > Racing          |     Top Free | 1 | 2014-01-31 | /jacobs/APKs/co/com./com.play/com.playrisedigital.ttr/1.0.8/com.playrisedigital.ttr.apk                                                                                                                                                                                        
Games > Role Playing    |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.tabt/com.tabtale.newbaby/1.0.0/com.tabtale.newbaby.apk                                                                                                                                                                                                
Games > Role Playing    |     Top Free | 1 | 2014-08-30 | /jacobs/APKs/co/com./com.com2/com.com2us.smon.normal.freefull.google.kr.android.common/1.2.3/com.com2us.smon.normal.freefull.google.kr.android.common.apk                                                                                                                      
Games > Role Playing    |     Top Free | 1 | 2014-04-20 | /jacobs/APKs/co/com./com.Ugam/com.Ugamehome.StillandWarHD/1.6.0/com.Ugamehome.StillandWarHD.apk                                                                                                                                                                                
